phrase,meaning,example
spill the tea #629,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #630,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #631,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #632,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #633,과시하다,He likes to flex his new watch.
high-key #634,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #635,과시하다,He likes to flex his new watch.
hit different #636,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #637,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #638,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #639,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #640,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #641,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #642,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #643,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #644,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #645,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #646,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #647,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #648,과시하다,He likes to flex his new watch.
spill the tea #649,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #650,과시하다,He likes to flex his new watch.
cap #651,거짓말,He said he met Beyoncé. That’s cap.
low-key #652,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #653,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #654,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #655,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #656,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #657,거짓말,He said he met Beyoncé. That’s cap.
no cap #658,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #659,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #660,과시하다,He likes to flex his new watch.
cap #661,거짓말,He said he met Beyoncé. That’s cap.
low-key #662,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #663,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #664,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #665,이전과 다르게 느껴지다,This song just hits different at night.
flex #666,과시하다,He likes to flex his new watch.
throw shade #667,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #668,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #669,이전과 다르게 느껴지다,This song just hits different at night.
low-key #670,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #671,거짓말,He said he met Beyoncé. That’s cap.
flex #672,과시하다,He likes to flex his new watch.
on fleek #673,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #674,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #675,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #676,과시하다,He likes to flex his new watch.
cap #677,거짓말,He said he met Beyoncé. That’s cap.
throw shade #678,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #679,과시하다,He likes to flex his new watch.
ghost someone #680,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #681,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #682,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #683,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #684,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #685,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #686,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #687,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #688,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #689,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #690,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #691,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #692,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #693,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #694,과시하다,He likes to flex his new watch.
spill the tea #695,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #696,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #697,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #698,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #699,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #700,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #701,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #702,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #703,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #704,이전과 다르게 느껴지다,This song just hits different at night.
high-key #705,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #706,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #707,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #708,이전과 다르게 느껴지다,This song just hits different at night.
cap #709,거짓말,He said he met Beyoncé. That’s cap.
hit different #710,이전과 다르게 느껴지다,This song just hits different at night.
hit different #711,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #712,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #713,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #714,이전과 다르게 느껴지다,This song just hits different at night.
low-key #715,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #716,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #717,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #718,거짓말,He said he met Beyoncé. That’s cap.
flex #719,과시하다,He likes to flex his new watch.
on fleek #720,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #721,과시하다,He likes to flex his new watch.
throw shade #722,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #723,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #724,과시하다,He likes to flex his new watch.
spill the tea #725,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #726,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #727,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #728,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #729,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #730,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #731,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #732,과시하다,He likes to flex his new watch.
hit different #733,이전과 다르게 느껴지다,This song just hits different at night.
high-key #734,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #735,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #736,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #737,과시하다,He likes to flex his new watch.
hit different #738,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #739,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #740,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #741,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #742,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #743,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #744,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #745,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #746,과시하다,He likes to flex his new watch.
flex #747,과시하다,He likes to flex his new watch.
ghost someone #748,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #749,이전과 다르게 느껴지다,This song just hits different at night.
no cap #750,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #751,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #752,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #753,거짓말,He said he met Beyoncé. That’s cap.
no cap #754,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #755,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #756,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #757,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #758,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #759,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #760,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #761,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #762,과시하다,He likes to flex his new watch.
flex #763,과시하다,He likes to flex his new watch.
ghost someone #764,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #765,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #766,거짓말,He said he met Beyoncé. That’s cap.
on fleek #767,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #768,이전과 다르게 느껴지다,This song just hits different at night.
hit different #769,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #770,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #771,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #772,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #773,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #774,이전과 다르게 느껴지다,This song just hits different at night.
no cap #775,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #776,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #777,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #778,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #779,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #780,과시하다,He likes to flex his new watch.
ghost someone #781,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #782,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #783,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #784,거짓말,He said he met Beyoncé. That’s cap.
low-key #785,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #786,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #787,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #788,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #789,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #790,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #791,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #792,과시하다,He likes to flex his new watch.
ghost someone #793,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #794,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #795,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #796,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #797,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #798,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #799,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #800,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #801,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #802,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #803,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #804,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #805,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #806,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #807,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #808,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #809,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #810,거짓말,He said he met Beyoncé. That’s cap.
no cap #811,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #812,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #813,거짓말,He said he met Beyoncé. That’s cap.
throw shade #814,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #815,과시하다,He likes to flex his new watch.
cap #816,거짓말,He said he met Beyoncé. That’s cap.
low-key #817,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #818,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #819,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #820,과시하다,He likes to flex his new watch.
hit different #821,이전과 다르게 느껴지다,This song just hits different at night.
hit different #822,이전과 다르게 느껴지다,This song just hits different at night.
flex #823,과시하다,He likes to flex his new watch.
on fleek #824,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #825,이전과 다르게 느껴지다,This song just hits different at night.
flex #826,과시하다,He likes to flex his new watch.
ghost someone #827,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #828,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #829,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #830,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #831,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #832,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #833,과시하다,He likes to flex his new watch.
low-key #834,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #835,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #836,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #837,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #838,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #839,거짓말,He said he met Beyoncé. That’s cap.
on fleek #840,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #841,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #842,거짓말,He said he met Beyoncé. That’s cap.
flex #843,과시하다,He likes to flex his new watch.
on fleek #844,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #845,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #846,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #847,과시하다,He likes to flex his new watch.
high-key #848,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #849,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #850,거짓말,He said he met Beyoncé. That’s cap.
on fleek #851,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #852,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #853,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #854,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #855,거짓말,He said he met Beyoncé. That’s cap.
no cap #856,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #857,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #858,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #859,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #860,과시하다,He likes to flex his new watch.
low-key #861,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #862,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #863,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #864,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #865,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #866,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #867,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #868,과시하다,He likes to flex his new watch.
low-key #869,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #870,이전과 다르게 느껴지다,This song just hits different at night.
low-key #871,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #872,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #873,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #874,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #875,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #876,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #877,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #878,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #879,이전과 다르게 느껴지다,This song just hits different at night.
high-key #880,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #881,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #882,거짓말,He said he met Beyoncé. That’s cap.
hit different #883,이전과 다르게 느껴지다,This song just hits different at night.
no cap #884,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #885,과시하다,He likes to flex his new watch.
ghost someone #886,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #887,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #888,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #889,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #890,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #891,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #892,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #893,거짓말,He said he met Beyoncé. That’s cap.
high-key #894,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #895,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #896,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #897,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #898,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #899,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #900,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #901,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #902,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #903,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #904,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #905,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #906,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #907,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #908,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #909,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #910,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #911,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #912,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #913,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #914,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #915,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #916,과시하다,He likes to flex his new watch.
hit different #917,이전과 다르게 느껴지다,This song just hits different at night.
cap #918,거짓말,He said he met Beyoncé. That’s cap.
high-key #919,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #920,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #921,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #922,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #923,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #924,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #925,이전과 다르게 느껴지다,This song just hits different at night.
cap #926,거짓말,He said he met Beyoncé. That’s cap.
throw shade #927,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #928,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #929,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #930,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #931,과시하다,He likes to flex his new watch.
hit different #932,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #933,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #934,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #935,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #936,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #937,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #938,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #939,이전과 다르게 느껴지다,This song just hits different at night.
low-key #940,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #941,과시하다,He likes to flex his new watch.
ghost someone #942,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #943,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #944,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #945,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #946,이전과 다르게 느껴지다,This song just hits different at night.
hit different #947,이전과 다르게 느껴지다,This song just hits different at night.
high-key #948,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #949,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #950,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #951,과시하다,He likes to flex his new watch.
spill the tea #952,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #953,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #954,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #955,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #956,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #957,과시하다,He likes to flex his new watch.
spill the tea #958,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #959,거짓말,He said he met Beyoncé. That’s cap.
hit different #960,이전과 다르게 느껴지다,This song just hits different at night.
flex #961,과시하다,He likes to flex his new watch.
cap #962,거짓말,He said he met Beyoncé. That’s cap.
high-key #963,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #964,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #965,거짓말,He said he met Beyoncé. That’s cap.
flex #966,과시하다,He likes to flex his new watch.
no cap #967,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #968,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #969,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #970,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #971,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #972,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #973,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #974,과시하다,He likes to flex his new watch.
low-key #975,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #976,과시하다,He likes to flex his new watch.
ghost someone #977,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #978,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #979,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #980,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #981,이전과 다르게 느껴지다,This song just hits different at night.
no cap #982,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #983,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #984,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #985,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #986,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #987,과시하다,He likes to flex his new watch.
high-key #988,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #989,이전과 다르게 느껴지다,This song just hits different at night.
high-key #990,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #991,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #992,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #993,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #994,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #995,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #996,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #997,거짓말,He said he met Beyoncé. That’s cap.
throw shade #998,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #999,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1000,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1001,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #1002,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1003,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #1004,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #1005,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1006,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #1007,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1008,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1009,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1010,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1011,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1012,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #1013,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #1014,과시하다,He likes to flex his new watch.
no cap #1015,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1016,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #1017,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #1018,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #1019,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1020,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #1021,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1022,과시하다,He likes to flex his new watch.
no cap #1023,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1024,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1025,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1026,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1027,과시하다,He likes to flex his new watch.
high-key #1028,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1029,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1030,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1031,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #1032,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #1033,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1034,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1035,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1036,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1037,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1038,과시하다,He likes to flex his new watch.
spill the tea #1039,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1040,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1041,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1042,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1043,이전과 다르게 느껴지다,This song just hits different at night.
